time,open,high,low,close,volume
1503330600,3997.25,4020,3997.25,4020,0.790864
1503330900,4020,4022,4020,4022,0.18096600000000002
1503331200,4022,4023.11,4005.99,4005.99,0.877585
1503331500,4005.99,4005.99,3972.5,3972.5,0.28015
1503331800,3951.26,3997.25,3951.26,3997.25,2.854455
1503332100,4005.95,4026.04,4005.95,4026.04,2.5621169999999998
1503332400,3977.39,4026.04,3977.39,3977.39,0.738783
1503332700,3977.39,3977.39,3977.39,3977.39,0
1503333000,3977.39,4026.02,3977.39,4026.02,0.002923
1503333300,4026.02,4029.05,4026.02,4029.05,0.00053
1503333600,4029.05,4029.05,4029.05,4029.05,0
1503333900,4029.05,4029.05,4029.05,4029.05,0
1503334200,4029.05,4029.05,4029.05,4029.05,0
1503334500,4029.05,4029.05,4029.05,4029.05,0
1503334800,4029.05,4029.05,4019.99,4019.99,0.002625
1503335100,3990.15,4019.99,3970.7,4019.99,0.717866
1503335400,3985.63,4019.99,3985.62,4019.99,1.396717
1503335700,4019.99,4019.99,4016.01,4016.01,0.00126
1503336000,4000.8,4016,4000.8,4016,0.218498
1503336300,4015,4015,3951.26,3985.62,1.2029740000000002
1503336600,4014.99,4029.05,4014.99,4029.05,0.599345
1503336900,4029.05,4029.05,4029.05,4029.05,0.25458000000000003
1503337200,4029.05,4029.05,4029.05,4029.05,0
1503337500,4029.05,4029.06,3990.15,4029.06,0.09828
1503337800,4029.06,4029.06,4029.06,4029.06,0
1503338100,3980.76,4016.2,3980.76,4016.2,0.580383
1503338400,3997.57,4015,3997.57,4015,0.130775
1503338700,4015,4015,4015,4015,0.017981
1503339000,4015,4015,4015,4015,0.006383
1503339300,3980.16,3980.16,3980.16,3980.16,0.064
1503339600,3980.16,4015,3962.74,4015,0.76985
1503339900,4029.06,4029.06,3987.19,4027,0.37479799999999996
1503340200,4027,4027,3986.16,4016.51,0.7671859999999999
1503340500,3980.92,4016.51,3955,3955,0.661002
1503340800,4026.99,4026.99,4026.99,4026.99,0.003119
1503341100,4026.99,4026.99,4016.01,4016.01,0.003957
1503341400,4016.01,4016.01,3980,4016.01,0.004083
1503341700,3980,3980,3918.8,3918.8,1.0813429999999997
1503342000,3918.8,3932.59,3918.8,3932.59,0.02434
1503342300,3932.59,4014.99,3932.59,4014.99,0.8204779999999999
1503342600,4014.99,4042.11,4014.99,4022.74,4.011317
1503342900,4022.74,4022.74,4003.24,4022.74,0.388053
1503343200,4022.74,4022.74,4003.24,4022.74,0.583348
1503343500,4022.74,4027.51,4022.74,4025,0.015255999999999999
1503343800,4025,4027.51,4025,4027.51,0.016493
1503344100,4027.51,4027.51,4027.51,4027.51,0.00061
1503344400,4027.51,4027.51,4027.51,4027.51,0.194
1503344700,4027.51,4027.51,4015.21,4027.05,0.895995
1503345000,4027.05,4027.05,4015.27,4027.05,1.1915879999999999
1503345300,4027.05,4027.05,4021.15,4027.05,0.051904
1503345600,4027.05,4042.11,4023.03,4023.03,4.556519
1503345900,4023.03,4023.03,4022.09,4023.03,3.7169440000000002
1503346200,4029.06,4029.06,4029.06,4029.06,2.085743
1503346500,4025.1,4042.11,4021.9,4024.04,1.913539
1503346800,4022.59,4028.05,4021.03,4021.03,5.072094
1503347100,4018.15,4021.03,3950,3950,4.408578
1503347400,4021.03,4027.05,4021.03,4027.05,1.434781
1503347700,4027.05,4027.05,4004.04,4024.04,4.762955
1503348000,4024.04,4025.04,4024.04,4025.04,3.3536080000000004
1503348300,4025.04,4025.04,4025.04,4025.04,0.160749
1503348600,4025.04,4025.04,4025.04,4025.04,0
1503348900,4025.04,4025.04,4003.03,4025.04,0.643089
1503349200,4025.04,4027.05,4014.03,4027.05,5.331916
1503349500,4024.04,4025.54,4014.28,4025.54,4.596171999999999
1503349800,4025.54,4026.96,4011.27,4019.52,5.58201
1503350100,4019.52,4019.52,4019.5,4019.5,0.540376
1503350400,4019,4019,4015,4015,1.193682
1503350700,4009.01,4019.52,4009.01,4019.52,5.835319
1503351000,4015.76,4024.03,4015.76,4018.01,0.805804
1503351300,4018.01,4024.03,4018.01,4024.03,0.0298
1503351600,4024.03,4055.7,4024.03,4055.7,4.197257
1503351900,4055.7,4055.7,4007.51,4025.64,2.095027
1503352200,4033.37,4070.49,4025.64,4070.49,5.709656999999999
1503352500,4070.49,4070.49,4027.15,4039.1,3.439692
1503352800,4039.1,4041.23,4008.63,4008.63,2.1105140000000002
1503353100,4008.63,4041.23,4008.63,4041.23,3.1064390000000004
1503353400,4041.23,4041.23,4036.09,4036.09,2.436422
1503353700,4036.09,4036.09,4013.07,4022.12,3.0082210000000003
1503354000,4022.12,4039.09,4022.12,4039.09,2.189228
1503354300,4039.09,4039.09,4021.55,4039.09,0.553207
1503354600,4039.09,4039.09,4039.09,4039.09,0.013823
1503354900,4039.09,4039.09,4039.09,4039.09,0.018
1503355200,4039.09,4039.1,4024.3,4039.1,0.068438
1503355500,4039.1,4039.1,4021.56,4021.56,0.040612
1503355800,4021.56,4039.1,4021.56,4021.56,0.12285499999999999
1503356100,4013.63,4041.1,4013.63,4041.1,5.124895
1503356400,4041.1,4041.1,4025,4031.87,0.27533399999999997
1503356700,4031.87,4031.87,4031.87,4031.87,0.349385
1503357000,4031.87,4031.87,4031.87,4031.87,0
1503357300,4031.87,4031.87,4009.51,4016,0.244602
1503357600,4009.51,4017.8,4009.51,4017.8,0.423509
1503357900,4010.41,4029,4010.41,4016,1.015051
1503358200,4016,4016,4003.03,4003.03,0.14
1503358500,4003.03,4016,4000,4000,0.21525
1503358800,4000,4010,4000,4010,1.046
1503359100,4010,4010,3987.5,4000,0.722717
1503359400,3987.97,4000.95,3987.97,4000.95,3.743742
1503359700,4010,4016,4010,4016,2.7881929999999997
1503360000,4016,4016,4016,4016,1.8119010000000002
1503360300,4016,4016,3995.5,4016,8.307344
1503360600,4016,4016,3975,4008.48,4.536215
1503360900,3975,4008.48,3974.71,3974.71,1.6417169999999999
1503361200,3974.71,3974.71,3974.71,3974.71,0.764341
1503361500,3974.71,3974.71,3974.05,3974.05,0.54
1503361800,3974.05,3974.05,3957.11,3962.01,1.110293
1503362100,3965.57,3983.19,3962.01,3981.18,8.933428
1503362400,3962.01,3981.18,3940.01,3940.01,4.464327
1503362700,3915,3917.61,3895.53,3910,6.453142
1503363000,3895.53,3917.61,3880,3885.49,5.869547
1503363300,3880,3885.49,3789.95,3790,15.906762
1503363600,3790,3890.51,3790,3850,2.847178
1503363900,3809.15,3809.15,3744.81,3758,4.472355
1503364200,3758,3884.99,3737.85,3884.99,2.669213
1503364500,3884.99,3884.99,3791.84,3849.99,1.366068
1503364800,3849.99,3849.99,3849.99,3849.99,1.014217
1503365100,3849.99,3849.99,3733.71,3799.99,0.933214
1503365400,3728.91,3728.91,3700,3700,7.2450790000000005
1503365700,3700,3844.98,3700,3700,2.89092
1503366000,3700,3799.99,3700,3799.99,1.250527
1503366300,3799.97,3799.97,3690.54,3690.54,2.354636
1503366600,3699.98,3844.98,3690.54,3844.98,1.8401099999999997
1503366900,3844.98,3844.98,3688.97,3700,1.2429919999999999
1503367200,3700,3844.95,3700,3844.95,0.024347999999999995
1503367500,3844.95,3844.95,3689,3689,0.567114
1503367800,3689,3797.99,3689,3797.99,0.4663689999999999
1503368100,3797.99,3797.99,3797.99,3797.99,0
1503368400,3797.99,3797.99,3797.99,3797.99,0.291192
1503368700,3797.99,3797.99,3797.99,3797.99,0.049898
1503369000,3797.99,3797.99,3797.99,3797.99,0
1503369300,3796,3797.99,3759.5,3797.99,0.267994
1503369600,3797.99,3844.95,3781.99,3844.95,1.041587
1503369900,3844.95,3844.96,3844.95,3844.96,0.596324
1503370200,3844.96,3849.98,3794.96,3849.98,2.655953
1503370500,3822.46,3849.98,3822.46,3849.98,2.373825
1503370800,3849.98,3849.98,3822.5,3822.5,0.131
1503371100,3822.55,3849.98,3802.53,3849.97,3.0755599999999994
1503371400,3845,3845,3810,3810,0.353035
1503371700,3840,3849.97,3840,3849.97,4.288587
1503372000,3849.97,3849.98,3849.97,3849.98,2.949172
1503372300,3849.98,3849.98,3849.98,3849.98,0.130743
1503372600,3849.98,3849.98,3823,3849.98,0.179
1503372900,3849.98,3849.98,3825,3849.98,1.404123
1503373200,3830,3830,3830,3830,0.109
1503373500,3849.98,3862.39,3830,3830,1.6059299999999999
1503373800,3830,3850.35,3830,3850.35,0.49566
1503374100,3850.35,3862.39,3850.35,3862.39,1.1634060000000002
1503374400,3863,3868.57,3777.73,3777.73,7.327831
1503374700,3777.73,3777.73,3750,3750,1.67844
1503375000,3750,3750,3700,3749,1.7329139999999998
